SNo,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Stage,Legendary
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,2,FALSE
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,3,FALSE
4,Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE
5,Charmeleon,Fire,,405,58,64,58,80,65,80,2,FALSE
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,3,FALSE
7,Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE
8,Wartortle,Water,,405,59,63,80,65,80,58,2,FALSE
9,Blastoise,Water,,530,79,83,100,85,105,78,3,FALSE
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,FALSE
11,Metapod,Bug,,205,50,20,55,25,25,30,2,FALSE
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,3,FALSE
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,2,FALSE
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,3,FALSE
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,2,FALSE
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,3,FALSE
19,Rattata,Normal,,253,30,56,35,25,35,72,1,FALSE
20,Raticate,Normal,,413,55,81,60,50,70,97,2,FALSE